12:35:33.403205 config: drop-rate=0.30, max-delay=1s, seed=1
12:35:33.403878 router is listening at :3000
12:35:47.157312 [queue=1] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 870ms
12:35:48.031386 [queue=0] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:35:48.031952 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delayed for 590ms
12:35:48.623575 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delivered
12:35:48.627323 [queue=1] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 180ms
12:35:48.627616 [queue=1] packet #1, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is dropped
12:35:48.627810 [queue=1] packet #2, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is dropped
12:35:48.628002 [queue=1] packet #3, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is dropped
12:35:48.808499 [queue=0] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:35:51.634757 [queue=1] packet #1, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is delayed for 940ms
12:35:51.634791 [queue=2] packet #2, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is delayed for 620ms
12:35:51.634960 [queue=3] packet #3, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is delayed for 280ms
12:35:51.916077 [queue=2] packet #3, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is delivered
12:35:51.916326 [queue=3] packet #3, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delayed for 110ms
12:35:52.027412 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delivered
12:35:52.255898 [queue=1] packet #2, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is delivered
12:35:52.256135 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is dropped
12:35:52.575858 [queue=0] packet #1, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=20 is delivered
12:35:52.576100 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delayed for 60ms
12:35:52.637197 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delivered
12:35:52.643748 [queue=0] packet #4, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=9 is dropped
